"""mov_galaxy_ID""","""imdbID""","""title""","""rating"""
"""001""","""0147800""","""10 Things I Hate About You""","""7.2"""
"""003""","""0417385""","""12 and Holding""","""7.6"""
"""005""","""1542344""","""127 Hours""","""7.6"""
"""006""","""0103594""","""1492: Conquest of Paradise""","""6.5"""
"""007""","""0179626""","""15 Minutes""","""6.1"""
"""008""","""0974661""","""17 Again""","""6.4"""
"""009""","""0118531""","""One Eight Seven""","""6.7"""
"""010""","""0062622""","""2001: A Space Odyssey""","""8.3"""
"""011""","""1190080""","""2012""","""5.8"""
"""013""","""0914837""","""44 Inch Chest""","""5.8"""
"""014""","""0083511""","""48 Hrs.""","""6.9"""
"""015""","""1022603""","""(500) Days of Summer""","""7.7"""
"""017""","""0134273""","""8MM""","""6.5"""
"""019""","""0104257""","""A Few Good Men""","""7.6"""
"""021""","""0094602""","""Above the Law""","""5.9"""
"""022""","""0118548""","""Absolute Power""","""6.7"""
"""023""","""0096754""","""The Abyss""","""7.6"""
"""024""","""0109040""","""Ace Ventura: Pet Detective""","""6.9"""
"""025""","""0268126""","""Adaptation.""","""7.7"""
"""026""","""0101272""","""The Addams Family""","""6.8"""
"""027""","""0086856""","""The Adventures of Buckaroo Banzai Across the 8th Dimension""","""6.4"""
"""028""","""0118564""","""Affliction""","""7.0"""
"""030""","""0838247""","""After.Life""","""5.9"""
"""031""","""0088683""","""Agnes of God""","""6.6"""
"""032""","""0118571""","""Air Force One""","""6.4"""
"""033""","""0080339""","""Airplane!""","""7.8"""
"""034""","""0083530""","""Airplane II: The Sequel""","""6.1"""
"""036""","""0248667""","""Ali""","""6.8"""
"""038""","""2316204""","""Alien: Covenant""","""6.4"""
"""039""","""0094631""","""Alien Nation""","""6.3"""
"""040""","""0370263""","""AVP: Alien vs. Predator""","""5.6"""
"""041""","""0118583""","""Alien: Resurrection""","""6.3"""
"""042""","""0090605""","""Aliens""","""8.4"""
"""043""","""0042192""","""All About Eve""","""8.3"""
"""044""","""0881891""","""All About Steve""","""4.8"""
"""047""","""0181875""","""Almost Famous""","""7.9"""
"""048""","""0369226""","""Alone in the Dark""","""2.3"""
